source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text,story_index,draft_id,draft_status
common_event,22,HEAL,,,,0,355,script,currentCharacter = $Trainer&.character_ID,0,,skip_script
common_event,22,HEAL,,,,1,655,script_cont,"if $game_switches[2092] && !$PokemonTemp.battleRules[""canLose""] && [0, 1].include?(currentCharacter)",0,,skip_script
common_event,22,HEAL,,,,2,655,script_cont,for i in(0...$Trainer.party.length),0,,skip_script
common_event,22,HEAL,,,,3,655,script_cont,if !$Trainer.party[i].fainted?,0,,skip_script
common_event,22,HEAL,,,,4,655,script_cont,$Trainer.party[i].heal,0,,skip_script
common_event,22,HEAL,,,,5,655,script_cont,end,0,,skip_script
common_event,22,HEAL,,,,6,655,script_cont,end,0,,skip_script
common_event,22,HEAL,,,,7,655,script_cont,else,0,,skip_script
common_event,22,HEAL,,,,8,655,script_cont,$Trainer.heal_party,0,,skip_script
common_event,22,HEAL,,,,9,655,script_cont,end,0,,skip_script
common_event,32,Me han pillado D:,,,,3,101,show_text,\f[ditto002]¡Dit...!,0,\f[ditto002]Dit...!,proofread_opening
map,22,,5,EV005,1,24,355,script,pbChangePlayer(0),1,,skip_script
map,22,,5,EV005,1,38,355,script,pbChangePlayer(1),1,,skip_script
map,22,,1,Quick start intro,1,0,108,comment,"This is the Debug intro, used to quickly start a game.",1,,skip_comment
map,22,,1,Quick start intro,1,1,408,comment_cont,The player's name and trainer type are chosen,1,,skip_comment
map,22,,1,Quick start intro,1,2,408,comment_cont,automatically.,1,,skip_comment
map,22,,1,Quick start intro,1,3,355,script,pbChangePlayer(0),1,,skip_script
map,22,,1,Quick start intro,1,4,355,script,"pbTrainerName(""Red"")",1,,skip_script
map,22,,1,Quick start intro,1,6,355,script,pbToneChangeAll(,1,,skip_script
map,22,,1,Quick start intro,1,7,655,script_cont,"Tone.new(-255, -255, -255, 0),",1,,skip_script
map,22,,1,Quick start intro,1,8,655,script_cont,0,1,,skip_script
map,22,,1,Quick start intro,1,9,655,script_cont,),1,,skip_script
map,22,,1,Quick start intro,1,11,355,script,pbToneChangeAll(,1,,skip_script
map,22,,1,Quick start intro,1,12,655,script_cont,"Tone.new(0, 0, 0, 0),",1,,skip_script
map,22,,1,Quick start intro,1,13,655,script_cont,10,1,,skip_script
map,22,,1,Quick start intro,1,14,655,script_cont,),1,,skip_script
map,22,,2,Intro,1,8,101,show_text,"Antes de empezar, ¿necesitas saber cómo funcionan los controles?",1,"Sebelum mulai, apakah kamu perlu tahu cara kerja kontrolnya?",proofread_opening
map,22,,2,Intro,1,9,102,choices,Si,1,Ya,proofread_opening
map,22,,2,Intro,1,9,102,choices,Nah,1,Tidak,proofread_opening
map,22,,2,Intro,1,10,402,choice_branch,Si,1,Ya,proofread_opening
map,22,,2,Intro,1,11,355,script,pbEventScreen(ButtonEventScene),1,,skip_script
map,22,,2,Intro,1,13,402,choice_branch,Nah,1,Tidak,proofread_opening
map,22,,2,Intro,1,17,101,show_text,Un par de preguntas antes de empezar...,1,Ada beberapa pertanyaan sebelum kita mulai...,proofread_opening
map,22,,2,Intro,1,19,101,show_text,¿Quieres subir este juego a Internet? Esta opción sustituirá algunas canciones que contienen copyright para evitar problemas.,1,Apakah kamu ingin mengunggah game ini ke Internet? Opsi ini akan mengganti beberapa lagu berhak cipta untuk menghindari masalah.,proofread_opening
map,22,,2,Intro,1,20,102,choices,"Sí, subiré el juego a Internet",1,"Ya, game ini akan saya unggah.",proofread_opening
map,22,,2,Intro,1,20,102,choices,"Nope, solo estoy jugando.",1,"Tidak, saya cuma bermain.",proofread_opening
map,22,,2,Intro,1,21,402,choice_branch,"Sí, subiré el juego a Internet",1,"Ya, game ini akan saya unggah.",proofread_opening
map,22,,2,Intro,1,22,355,script,$PokemonSystem.streamer = 1,1,,skip_script
map,22,,2,Intro,1,24,402,choice_branch,"Nope, solo estoy jugando.",1,"Tidak, saya cuma bermain.",proofread_opening
map,22,,2,Intro,1,28,101,show_text,Para evitar cualquier problema... ¿Eres fotosensible a algunas luces e iluminación?,1,Untuk menghindari masalah apa pun... apakah kamu sensitif terhadap cahaya atau pencahayaan tertentu?,proofread_opening
map,22,,2,Intro,1,29,102,choices,"Sip, soy fotosensible",1,"Ya, saya fotosensitif.",proofread_opening
map,22,,2,Intro,1,29,102,choices,Nope,1,Tidak.,proofread_opening
map,22,,2,Intro,1,30,402,choice_branch,"Sip, soy fotosensible",1,"Ya, saya fotosensitif.",proofread_opening
map,22,,2,Intro,1,31,355,script,$PokemonSystem.flashlight = 1,1,,skip_script
map,22,,2,Intro,1,33,402,choice_branch,Nope,1,Tidak.,proofread_opening
map,22,,2,Intro,1,42,108,comment,Selección de dificultad,1,,skip_comment
map,22,,2,Intro,1,45,101,show_text,Selecciona un modo de dificultad.,1,Pilih mode kesulitan.,proofread_opening
map,22,,2,Intro,2,1,108,comment,Al pulsar hacia abajo,1,,skip_comment
map,22,,2,Intro,2,3,355,script,echo pbGet(406),1,,skip_script
map,22,,2,Intro,2,17,108,comment,Al pulsar hacia arriba,1,,skip_comment
map,22,,2,Intro,2,32,108,comment,Qué imagen me enseña,1,,skip_comment
