source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,25,,33,EV033,1,0,108,comment,noshadow
map,25,,100,Slope,1,0,108,comment,Slope: 2x1
map,25,,100,Slope,1,1,108,comment,Width: 1/2
map,25,,100,Slope,1,2,108,comment,Offset: 16px
map,25,,167,EV167,1,0,101,show_text,(Parece estar atento al concierto...)
map,25,,201,EV201,1,0,101,show_text,(Seems to be paying attention to the battle...)
map,25,,134,EV134,1,0,101,show_text,\dxn[Kiawe]¿Y tú quién eres? ¿Otro invitado?
map,25,,134,EV134,1,2,101,show_text,\dxn[Kiawe]A mí y algunos amigos más nos han invitado para participar como contrincantes en el \c[2]Minijuego de Combate\c[0].
map,25,,134,EV134,1,5,101,show_text,"\dxn[Kiawe]Supongo que si alcanzas cierto nivel en el minijuego, podrás pelear contra mí."
map,25,,34,Angie Stones,2,0,101,show_text,(Está ocupada tocando para el público...)
map,25,,101,Slope,1,0,108,comment,Slope: 2x1
map,25,,101,Slope,1,1,108,comment,Width: 0/2
map,25,,101,Slope,1,2,108,comment,Offset: 16px
map,25,,168,EV168,1,0,101,show_text,(Parece estar atento al concierto...)
map,25,,202,EV202,1,0,101,show_text,(Seems to be paying attention to the battle...)
map,25,,135,LANA,1,2,101,show_text,"\dxn[Nereida]¡Hola! ¿Vienes por el torneo, también?"
map,25,,135,LANA,1,4,101,show_text,\dxn[Nereida]A mi Liberty me ganó cuando me dijo que se podían pescar cosas chulas en estas aguas.
map,25,,135,LANA,1,6,101,show_text,"\dxn[Nereida]Y bueno, tampoco se equivocaba, así que ni tan mal."
map,25,,135,LANA,1,8,101,show_text,\dxn[Nereida]¡Nos veremos por el \c[2]Minijuego de Combate\c[0]!
map,25,,102,LIBERTY,1,4,101,show_text,"\dxn[Liberty]¡Qué pasa, \PN! ¿Disfrutando de la fiesta?"
map,25,,102,LIBERTY,1,10,101,show_text,\dxn[Liberty]¿Todavía no has pasado por el \c[2]Punto de Información\c[0]?
map,25,,102,LIBERTY,1,15,101,show_text,\dxn[Liberty]Sin el pase no podrás participar en estas peleas.
map,25,,102,LIBERTY,1,19,101,show_text,"\dxn[Liberty]Así que espabila, no he venido aquí para nada. Un presidente tiene mucha faena por hacer."
map,25,,102,LIBERTY,1,25,101,show_text,"\dxn[\PN]<i>(Sí claro, faena...)</i>"
map,25,,102,LIBERTY,1,30,101,show_text,"\dxn[\PN]<i>(Sí claro, faena...)</i>"
map,25,,102,LIBERTY,2,4,101,show_text,"\dxn[Liberty]¡Qué pasa, \PN! ¿Disfrutando de la fiesta?"
map,25,,102,LIBERTY,2,10,101,show_text,\dxn[Liberty]¿Todavía no has pasado por el \c[2]Punto de Información\c[0]?
map,25,,102,LIBERTY,2,15,101,show_text,\dxn[Liberty]Sin el pase no podrás participar en estas peleas.
map,25,,102,LIBERTY,2,19,101,show_text,"\dxn[Liberty]Así que espabila, no he venido aquí para nada. Un presidente tiene mucha faena por hacer."
map,25,,102,LIBERTY,2,25,101,show_text,"\dxn[\PN]<i>(Sí claro, faena...)</i>"
map,25,,102,LIBERTY,2,30,101,show_text,"\dxn[\PN]<i>(Sí claro, faena...)</i>"
map,25,,102,LIBERTY,3,5,101,show_text,"\dxn[Liberty]¡Qué pasa, \PN! ¿Disfrutando de la fiesta?"
map,25,,102,LIBERTY,3,10,101,show_text,\dxn[Liberty]¿Vienes para participar en los \c[2]Combates Tropicales\c[0]?
map,25,,102,LIBERTY,3,14,101,show_text,\dxn[Liberty]¡Hemos invitado a gente realmente fuerte de otra región!
map,25,,102,LIBERTY,3,22,101,show_text,\dxn[Liberty]¡Es verdad! ¡Has conseguido todos los tickets!
map,25,,102,LIBERTY,3,24,108,comment,// En el caso de que hayas conseguido todos los rewards
map,25,,102,LIBERTY,3,30,101,show_text,"\sh\dxn[Liberty]¡Espera, también has derrotado a todos los oponentes!"
map,25,,102,LIBERTY,3,35,101,show_text,\ts[2]\dxn[Liberty]Creo que ha llegado el momento de...
map,25,,102,LIBERTY,3,40,101,show_text,\dxn[\PN]¿Luchar contra ti?
map,25,,102,LIBERTY,3,45,101,show_text,\dxn[\PN]¿Luchar contra ti?
map,25,,102,LIBERTY,3,52,101,show_text,\ts[2]\dxn[Liberty]¿Conmigo?
map,25,,102,LIBERTY,3,56,101,show_text,"\dxn[Liberty]Sí hombre, ya tuve que ejercer de líder hace poco contigo. No lo repito de nuevo."
map,25,,102,LIBERTY,3,62,101,show_text,\dxn[\PN]<i>(Pero si es parte de tu trabajo...)</i>
map,25,,102,LIBERTY,3,67,101,show_text,\dxn[\PN]<i>(Pero si es parte de tu trabajo...)</i>
map,25,,102,LIBERTY,3,75,101,show_text,"\ts[2]\dxn[Liberty]Pero si no hago nada al respecto, Sakura me reventará algo más que la mandíbula..."
map,25,,102,LIBERTY,3,79,101,show_text,\ts[2]\dxn[Liberty]Y mis Exeggcutes son sagrados...
map,25,,102,LIBERTY,3,97,101,show_text,\sh\dxn[Liberty]¡Ya sé qué hacer!
map,25,,102,LIBERTY,3,106,355,script,pbCameraToEvent(111)
map,25,,102,LIBERTY,3,111,101,show_text,"\sh\dxn[Liberty]¡Kukui, tengo aquí a un novato con ganas de fiesta!"
map,25,,102,LIBERTY,3,116,101,show_text,\dxn[Liberty]¿Te apetece jugar un poco con él?
map,25,,102,LIBERTY,3,120,101,show_text,\sh\dxn[Kukui]¡Por supuesto! ¡Uno siempre debe estar dispuesto a tener un combate Pokémon!
map,25,,102,LIBERTY,3,121,355,script,pbCameraReset
map,25,,102,LIBERTY,3,126,101,show_text,"\dxn[Liberty]Se trata de Kukui, el Ex Campeón de Alola."
map,25,,102,LIBERTY,3,130,101,show_text,\dxn[Liberty]¿Qué te parece? ¿Suficiente para ti o te has hecho caca?
map,25,,102,LIBERTY,3,133,102,choices,Let's go!
map,25,,102,LIBERTY,3,133,102,choices,"Nothing, nothing..."
map,25,,102,LIBERTY,3,134,402,choice_branch,Let's go!
map,25,,102,LIBERTY,3,145,101,show_text,\sh\dxn[Liberty]¿Ves? ¡Liberty siempre gana!
map,25,,102,LIBERTY,3,149,101,show_text,\dxn[Liberty]¡Otro combate por mí y así no tengo que interactuar contigo!
map,25,,102,LIBERTY,3,156,101,show_text,"\sh\dxn[Liberty]¡Bueno, vamos para el campo de batalla!"
map,25,,102,LIBERTY,3,163,402,choice_branch,"Nothing, nothing..."
map,25,,102,LIBERTY,3,168,101,show_text,\dxn[Liberty]¿Pero tú te estás quedando conmigo o qué te pasa?
map,25,,102,LIBERTY,3,173,101,show_text,"\dxn[Liberty]En fin, haz lo que quieras. ¿Al menos quieres jugar algún nivel?"
map,25,,102,LIBERTY,3,181,101,show_text,\dxn[Liberty]¡Pero todavía tienes oponentes por derrotar!
map,25,,102,LIBERTY,3,188,101,show_text,"\dxn[Liberty]Todavía tienes puntos por conseguir, ¿quieres participar?"
map,25,,102,LIBERTY,3,192,355,script,echo pbGet(901)
map,25,,102,LIBERTY,3,244,355,script,$points_hud = FightingPointsDisplayHUD.new
map,25,,102,LIBERTY,4,0,108,comment,noshadow
map,25,,169,EV169,1,0,101,show_text,(Parece estar atento al concierto...)
map,25,,69,EV069,1,0,108,comment,noshadow
map,25,,136,EV136,1,0,101,show_text,"\dxn[Denio]Odio el calor, odio las fiestas."
map,25,,136,EV136,1,2,101,show_text,"\dxn[Denio]Liberty me ha pagado lo suyo, sino no hubiera venido."
map,25,,203,EV203,1,0,101,show_text,\dxn[Mina]I love turning others' joy into art on my canvas!
map,25,,203,EV203,1,2,101,show_text,\dxn[Mina]Do you like painting?
map,25,,203,EV203,1,3,102,choices,Yes
map,25,,203,EV203,1,3,102,choices,No
map,25,,203,EV203,1,4,402,choice_branch,Yes
map,25,,203,EV203,1,7,101,show_text,\dxn[Mina]That's awesome! Then I'm sure you'll understand me!
map,25,,203,EV203,1,9,402,choice_branch,No
map,25,,203,EV203,1,10,101,show_text,\dxn[Mina]I guess you're more into battles... right?
map,25,,36,EV036,1,5,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,25,,70,EV070,1,0,108,comment,noshadow
map,25,,137,EV137,1,0,101,show_text,"\dxn[Lulú]Me gusta mucho el clima que tenéis en Akebia, se asemeja mucho al de Alola."
map,25,,137,EV137,1,2,101,show_text,"\dxn[Lulú]¡Y cuando Liberty me dijo que se haría una fiesta, no pude decir que no!"
map,25,,204,PLACAS,1,0,108,comment,noshadow
map,25,,71,EV071,1,0,108,comment,noshadow
map,25,,138,xd,1,0,355,script,Pokemon.play_cry(:TSAREENA)
map,25,,205,PLACAS EDITOR,1,0,108,comment,// CINEMÁTICA PLACAS FUERA DE MINIJUEGO
map,25,,172,EV172,1,0,101,show_text,(Parece estar atento al concierto...)
map,25,,38,CELESTE,1,3,101,show_text,"\dxn[Celeste]¡Ey, \PN! ¡Te estábamos esperando!"
map,25,,38,CELESTE,1,8,101,show_text,"\dxn[Celeste]Todos estábamos un poco preocupados por ti, así que hemos decidido preparar este evento para que te animes un poquito."
map,25,,38,CELESTE,1,13,101,show_text,\sh\dxn[Celeste]¡Estoy segura de que el olor del mar y el sonido de las olas te ayudarán a mejorar ese ánimo!
map,25,,38,CELESTE,1,18,101,show_text,"\dxn[Celeste]En este Summer Resort, yo me ocupo del \c[2]Minijuego de Pesca\c[0]."
map,25,,38,CELESTE,1,22,101,show_text,"\dxn[Celeste]Para poder participar, necesitarás un \c[2]Resort Pass\c[0] y esto."
map,25,,38,CELESTE,1,24,355,script,pbReceiveItem(:MEGAROD)
map,25,,38,CELESTE,1,28,101,show_text,"\sh\dxn[Celeste]¡Si te apetece competir con gente, ganar algunos puntos y recompensas, ven a verme!"
map,25,,38,CELESTE,2,4,101,show_text,\dxn[Celeste]¿No te lo dije?
map,25,,38,CELESTE,2,8,101,show_text,\dxn[Celeste]Para participar tendrás que tener el \c[2]Resort Pass\c[0].
map,25,,38,CELESTE,2,13,101,show_text,\dxn[Celeste]Podrás adquirirlo si enseñas la invitación en la casita que hay justo delante.
map,25,,38,CELESTE,3,3,101,show_text,\dxn[Celeste]¿Has venido a participar en el \c[2]Minijuego de Pesca\c[0]?
map,25,,38,CELESTE,3,8,101,show_text,\dxn[Celeste]¡Ya has conseguido todos los puntos!
map,25,,38,CELESTE,3,10,108,comment,// En el caso de que hayas conseguido todos los rewards
map,25,,38,CELESTE,3,16,101,show_text,"\sh\dxn[Celeste]¡Espera, también has superado todos los niveles y has reclamado todas las recompensas!"
map,25,,38,CELESTE,3,21,101,show_text,\ts[2]\dxn[Celeste]Creo que ha llegado el momento...
map,25,,38,CELESTE,3,26,101,show_text,\ts[2]\dxn[Celeste]¿Quieres retarme a mí?
map,25,,38,CELESTE,3,30,102,choices,¡Vamos!
map,25,,38,CELESTE,3,30,102,choices,"Nada, nada..."
map,25,,38,CELESTE,3,31,402,choice_branch,¡Vamos!
map,25,,38,CELESTE,3,42,101,show_text,"\sh\dxn[Celeste]¡Genial, vamos a ver si eres capaz de superarme!"
map,25,,38,CELESTE,3,49,402,choice_branch,"Nada, nada..."
map,25,,38,CELESTE,3,54,101,show_text,"\ts[2]\dxn[Celeste]De acuerdo, no importa..."
map,25,,38,CELESTE,3,58,101,show_text,\dxn[Celeste]Entonces... ¿quieres jugar algún nivel?
map,25,,38,CELESTE,3,66,101,show_text,\dxn[Celeste]¡Pero todavía tienes recompensas por ganar!
map,25,,38,CELESTE,3,74,101,show_text,\dxn[Celeste]¡Todavía tienes <i>Resort Points</i> por conseguir!
map,25,,38,CELESTE,3,78,355,script,echo pbGet(901)
map,25,,38,CELESTE,3,130,355,script,$points_hud = FishingPointsDisplayHUD.new
map,25,,72,EV072,1,0,108,comment,noshadow
map,25,,139,xd,1,0,355,script,Pokemon.play_cry(:PERSIAN)
map,25,,206,"Fuente, size(1,1)",1,0,108,comment,noshadow
map,25,,173,EV173,1,0,101,show_text,(Parece estar atento al concierto...)
map,25,,39,CELESTE MENU OPEN,1,0,108,comment,// CONTROL ALL THE INTERFACE
map,25,,39,CELESTE MENU OPEN,1,2,355,script,$points_hud.update if $points_hud
map,25,,39,CELESTE MENU OPEN,1,4,108,comment,// PARTE VISIBLE
map,25,,39,CELESTE MENU OPEN,1,51,108,comment,// CAMBIAS DE DIFICULTAD
map,25,,39,CELESTE MENU OPEN,1,63,355,script,echo pbGet(900)
map,25,,39,CELESTE MENU OPEN,1,77,355,script,echo pbGet(900)
map,25,,39,CELESTE MENU OPEN,1,91,355,script,echo pbGet(900)
map,25,,39,CELESTE MENU OPEN,1,110,355,script,echo pbGet(900)
map,25,,39,CELESTE MENU OPEN,1,122,101,show_text,¿Estás seguro de que quieres salir?
map,25,,39,CELESTE MENU OPEN,1,123,102,choices,Sí
map,25,,39,CELESTE MENU OPEN,1,123,102,choices,No
map,25,,39,CELESTE MENU OPEN,1,124,402,choice_branch,Sí
map,25,,39,CELESTE MENU OPEN,1,126,355,script,$points_hud.dispose
map,25,,39,CELESTE MENU OPEN,1,136,101,show_text,"\dxn[Celeste]No te preocupes, si necesitas algo me dices."
map,25,,39,CELESTE MENU OPEN,1,142,402,choice_branch,No
map,25,,39,CELESTE MENU OPEN,1,153,101,show_text,¿Quieres jugar el \c[2]Nivel 1\c[0]?
map,25,,39,CELESTE MENU OPEN,1,154,102,choices,¡Vamos!
map,25,,39,CELESTE MENU OPEN,1,154,102,choices,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,1,155,402,choice_branch,¡Vamos!
map,25,,39,CELESTE MENU OPEN,1,156,355,script,$points_hud.dispose
map,25,,39,CELESTE MENU OPEN,1,160,402,choice_branch,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,1,168,101,show_text,¿Quieres jugar el \c[2]Nivel 2\c[0]?
map,25,,39,CELESTE MENU OPEN,1,169,102,choices,¡Vamos!
map,25,,39,CELESTE MENU OPEN,1,169,102,choices,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,1,170,402,choice_branch,¡Vamos!
map,25,,39,CELESTE MENU OPEN,1,171,355,script,$points_hud.dispose
map,25,,39,CELESTE MENU OPEN,1,175,402,choice_branch,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,1,183,101,show_text,¿Quieres jugar el \c[2]Nivel 3\c[0]?
map,25,,39,CELESTE MENU OPEN,1,184,102,choices,¡Vamos!
map,25,,39,CELESTE MENU OPEN,1,184,102,choices,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,1,185,402,choice_branch,¡Vamos!
map,25,,39,CELESTE MENU OPEN,1,186,355,script,$points_hud.dispose
map,25,,39,CELESTE MENU OPEN,1,190,402,choice_branch,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,1,198,101,show_text,¿Quieres jugar el \c[2]Nivel 4\c[0]?
map,25,,39,CELESTE MENU OPEN,1,199,102,choices,¡Vamos!
map,25,,39,CELESTE MENU OPEN,1,199,102,choices,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,1,200,402,choice_branch,¡Vamos!
map,25,,39,CELESTE MENU OPEN,1,201,355,script,$points_hud.dispose
map,25,,39,CELESTE MENU OPEN,1,205,402,choice_branch,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,2,0,108,comment,// CONTROL ALL THE INTERFACE
map,25,,39,CELESTE MENU OPEN,2,2,355,script,$points_hud.update if $points_hud
map,25,,39,CELESTE MENU OPEN,2,4,108,comment,// PARTE VISIBLE
map,25,,39,CELESTE MENU OPEN,2,51,108,comment,// CAMBIAS DE DIFICULTAD
map,25,,39,CELESTE MENU OPEN,2,63,355,script,echo pbGet(900)
map,25,,39,CELESTE MENU OPEN,2,77,355,script,echo pbGet(900)
map,25,,39,CELESTE MENU OPEN,2,91,355,script,echo pbGet(900)
map,25,,39,CELESTE MENU OPEN,2,110,355,script,echo pbGet(900)
map,25,,39,CELESTE MENU OPEN,2,122,101,show_text,¿Estás seguro de que quieres salir?
map,25,,39,CELESTE MENU OPEN,2,123,102,choices,Sí
map,25,,39,CELESTE MENU OPEN,2,123,102,choices,No
map,25,,39,CELESTE MENU OPEN,2,124,402,choice_branch,Sí
map,25,,39,CELESTE MENU OPEN,2,126,355,script,$points_hud.dispose
map,25,,39,CELESTE MENU OPEN,2,137,101,show_text,\dxn[Sakura]¿No vas a jugar?
map,25,,39,CELESTE MENU OPEN,2,142,101,show_text,"\dxn[Sakura]¡Bueno, aquí estaré por si cambias de opinión!"
map,25,,39,CELESTE MENU OPEN,2,148,402,choice_branch,No
map,25,,39,CELESTE MENU OPEN,2,159,101,show_text,¿Quieres jugar el \c[2]Nivel 1\c[0]?
map,25,,39,CELESTE MENU OPEN,2,160,102,choices,¡Vamos!
map,25,,39,CELESTE MENU OPEN,2,160,102,choices,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,2,161,402,choice_branch,¡Vamos!
map,25,,39,CELESTE MENU OPEN,2,162,355,script,$points_hud.dispose
map,25,,39,CELESTE MENU OPEN,2,166,402,choice_branch,"¡No, no!"
map,25,,39,CELESTE MENU OPEN,2,174,101,show_text,¿Quieres jugar el \c[2]Nivel 2\c[0]?
