source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,165,,33,EV033,1,0,108,comment,noshadow
map,165,,100,EV100,1,0,101,show_text,"Parece ser que este hotel es solo para personas más privilegiadas, no me dejan entrar."
map,165,,100,EV100,3,0,101,show_text,"Parece ser que este hotel es solo para personas más privilegiadas, no me dejan entrar."
map,165,,67,EV067,1,0,108,comment,noshadow
map,165,,134,EV134,1,0,355,script,Pokemon.play_cry(:MILCERY)
map,165,,34,EV034,1,0,108,comment,noshadow
map,165,,101,EV101,1,0,108,comment,noshadow
map,165,,168,EV168,1,0,355,script,pbItemBall(:FRESHWATER)
map,165,,168,EV168,2,0,101,show_text,La papelera está vacía.
map,165,,202,EV202,1,0,108,comment,noshadow
map,165,,68,EV068,1,0,101,show_text,"He oído que la Líder de Gimnasio vive en esta parte de la ciudad, es tan joven y guapa... Ya me gustaría ser como ella."
map,165,,135,EV135,1,0,101,show_text,¿No crees que es mejor disfrutar las cosas con el resto? ¡He traído a mi Milcery para que pruebe el helado!
map,165,,35,EV035,1,0,108,comment,noshadow
map,165,,102,EV102,1,0,108,comment,noshadow
map,165,,169,EV169,1,0,101,show_text,¿Qué pasa? ¿Necesitas algo?
map,165,,69,EV069,1,0,101,show_text,Cada mañana tengo que venir a limpiar los vómitos de
map,165,,69,EV069,1,1,401,show_text_cont,"los borrachos del bar, estoy harto. ¿Me quitas un"
map,165,,69,EV069,1,2,401,show_text_cont,poco el estrés?
map,165,,69,EV069,1,7,101,show_text,"Gracias, me hacía falta."
map,165,,69,EV069,2,0,101,show_text,"Gracias, me hacía falta."
map,165,,136,EV136,1,0,101,show_text,Bienvenido a la Heladería Vanilluxe! ¡Donde todos los helados son deluxe!
map,165,,203,EV203,1,0,108,comment,noshadow
map,165,,36,EV036,1,0,108,comment,noshadow
map,165,,103,EV103,1,0,108,comment,noshadow
map,165,,170,EV170,1,0,101,show_text,"¿Has visto que hay una joyería? Estoy por irme allá, que tienen aire acondicionado."
map,165,,70,EV070,1,0,101,show_text,Si coges ese camino de arriba irás a la parte norte de
map,165,,70,EV070,1,1,401,show_text_cont,la ciudad.
map,165,,137,EV137,1,0,101,show_text,"¡Necesitamos unos carbohidratos como sea, hemos perdido mucha energía después de hacer tanto deporte!"
map,165,,104,EV104,1,0,108,comment,noshadow
map,165,,171,EV171,1,0,101,show_text,La papelera está vacía.
map,165,,37,EV037,1,0,108,comment,noshadow
map,165,,71,EV071,1,0,101,show_text,¡Bienvenido al Bar: La Roca!
map,165,,138,EV138,1,0,101,show_text,"¡Después del deporte, un poco de helado!"
map,165,,138,EV138,1,3,101,show_text,"Tienes razón, quizás no sea lo mejor, ciertamente. Tomar agua es lo que va bien."
map,165,,138,EV138,1,4,355,script,pbReceiveItem(:FRESHWATER)
map,165,,138,EV138,2,0,101,show_text,¡El agua que no falte!
map,165,,4,Update EV004,1,0,108,comment,noshadow
map,165,,239,EV239,1,0,101,show_text,<ac>Hotel Miramar</ac>
map,165,,105,EV105,1,0,108,comment,noshadow
map,165,,38,EV038,1,0,108,comment,noshadow
map,165,,139,EV139,1,0,355,script,Pokemon.play_cry(:VANILLUXE)
map,165,,5,Update EV005,1,0,108,comment,noshadow
map,165,,206,,2,6,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,165,,206,,4,6,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,165,,106,EV106,1,0,101,show_text,Más te vale darle las gracias a las estatuas de Latias y Latios cada día.
map,165,,39,EV039,1,0,108,comment,noshadow
map,165,,240,EV240,1,0,101,show_text,<ac>Hotel Miramar</ac>
map,165,,73,EV073,1,0,355,script,pbItemBall(:TM56)
map,165,,140,EV140,1,0,101,show_text,(Está tocando una hermosa melodía con su flauta...)
map,165,,6,Update EV006,1,0,108,comment,noshadow
map,165,,107,EV107,1,0,101,show_text,Yo le doy cada día unos 100 pokedólares a las estatuas de Latias y Latios. ¡Dicen que da suerte!
map,165,,40,EV040,1,0,101,show_text,"(Está tocando para la gente, mejor no molestarlo.)"
map,165,,241,EV241,1,0,101,show_text,<ac>Ciudad Cardenal - Centro</ac>
map,165,,141,EV141,1,0,355,script,pbItemBall(:FRESHWATER)
map,165,,141,EV141,2,0,101,show_text,La papelera está vacía.
map,165,,7,EV007,1,0,101,show_text,(Está tocando una hermosa melodía con su violín...)
map,165,,74,EV074,1,0,355,script,pbItemBall(:WATERSTONE)
map,165,,108,EV108,1,0,101,show_text,"Yo quería estar con Marta a solas, pero tenían que estar unos abuelos al lado, qué rabia, quiero llorar."
